|event_dt               |passport   |fio                            |phone           |event_type|report_dt              |
|-----------------------|-----------|-------------------------------|----------------|----------|-----------------------|
|2021-03-01 03:18:45.000|8115 161624|Приемский Екатерина Анатольевна|+7 924 776-64-54|3         |2021-03-01 00:00:00.000|
|2021-03-01 22:36:38.000|5771 567535|Лазутченков Даниил Евдокиевич  |+7 910 653-83-33|4         |2021-03-01 00:00:00.000|
|2021-03-01 02:54:34.000|8115 161624|Приемский Екатерина Анатольевна|+7 924 776-64-54|3         |2021-03-01 00:00:00.000|
|2021-03-02 00:35:31.000|3032 452883|Пначин Яков Богданович         |+7 974 261-98-59|1         |2021-03-02 00:00:00.000|
|2021-03-02 05:03:23.000|3032 452883|Пначин Яков Богданович         |+7 974 261-98-59|1         |2021-03-02 00:00:00.000|
|2021-03-02 13:35:20.000|3032 452883|Пначин Яков Богданович         |+7 974 261-98-59|1         |2021-03-02 00:00:00.000|
|2021-03-02 09:44:53.000|3032 452883|Пначин Яков Богданович         |+7 974 261-98-59|1         |2021-03-02 00:00:00.000|
|2021-03-02 07:53:47.000|3032 452883|Пначин Яков Богданович         |+7 974 261-98-59|1         |2021-03-02 00:00:00.000|
|2021-03-02 21:55:44.000|3032 452883|Пначин Яков Богданович         |+7 974 261-98-59|1         |2021-03-02 00:00:00.000|
|2021-03-02 10:23:09.000|3032 452883|Пначин Яков Богданович         |+7 974 261-98-59|1         |2021-03-02 00:00:00.000|
|2021-03-02 02:56:36.000|3032 452883|Пначин Яков Богданович         |+7 974 261-98-59|1         |2021-03-02 00:00:00.000|
|2021-03-02 05:40:53.000|3032 452883|Пначин Яков Богданович         |+7 974 261-98-59|1         |2021-03-02 00:00:00.000|
|2021-03-02 21:22:37.000|3032 452883|Пначин Яков Богданович         |+7 974 261-98-59|1         |2021-03-02 00:00:00.000|
|2021-03-02 06:39:15.000|3032 452883|Пначин Яков Богданович         |+7 974 261-98-59|1         |2021-03-02 00:00:00.000|
|2021-03-02 19:14:38.000|3032 452883|Пначин Яков Богданович         |+7 974 261-98-59|1         |2021-03-02 00:00:00.000|
|2021-03-02 14:11:17.000|3032 452883|Пначин Яков Богданович         |+7 974 261-98-59|1         |2021-03-02 00:00:00.000|
|2021-03-02 00:16:34.000|5360 464827|Шкабкина Анжелика Ивановна     |+7 954 947-82-68|3         |2021-03-02 00:00:00.000|
